Symbol,Company_Name,Yahoo_Symbol
BANCOINDIA,Banco Products (I) Limited,BANCOINDIA.NS
BANDHANBNK,Bandhan Bank Limited,BANDHANBNK.NS
BANG,Bang Overseas Limited,BANG.NS
BANKBARODA,Bank of Baroda,BANKBARODA.NS
BANKINDIA,Bank of India,BANKINDIA.NS
BANSWRAS,Banswara Syntex Limited,BANSWRAS.NS
BARTRONICS,Bartronics India Limited,BARTRONICS.NS
BASF,BASF India Limited,BASF.NS
BASML,Bannari Amman Spinning Mills Limited,BASML.NS
BATAINDIA,Bata India Limited,BATAINDIA.NS
BAYERCROP,Bayer Cropscience Limited,BAYERCROP.NS
BBL,Bharat Bijlee Limited,BBL.NS
BBTC,Bombay Burmah Trading Corporation Limited,BBTC.NS
BCG,Brightcom Group Limited,BCG.NS
BCP,B.C. Power Controls Ltd,BCP.NS
BDL,Bharat Dynamics Limited,BDL.NS
BEARDSELL,Beardsell Limited,BEARDSELL.NS
BEDMUTHA,Bedmutha Industries Limited,BEDMUTHA.NS
BEL,Bharat Electronics Limited,BEL.NS
BEML,BEML Limited,BEML.NS
BEPL,Bhansali Engineering Polymers Limited,BEPL.NS
BERGEPAINT,Berger Paints (I) Limited,BERGEPAINT.NS
BFINVEST,BF Investment Limited,BFINVEST.NS
BFUTILITIE,BF Utilities Limited,BFUTILITIE.NS
BGRENERGY,BGR Energy Systems Limited,BGRENERGY.NS
BHAGERIA,Bhageria Industries Limited,BHAGERIA.NS
BHAGYANGR,Bhagyanagar India Limited,BHAGYANGR.NS
BHAGYAPROP,Bhagyanagar Properties Limited,BHAGYAPROP.NS
BHANDARI,Bhandari Hosiery Exports Limited,BHANDARI.NS
BHARATFORG,Bharat Forge Limited,BHARATFORG.NS
BHARATGEAR,Bharat Gears Limited,BHARATGEAR.NS
BHARATRAS,Bharat Rasayan Limited,BHARATRAS.NS
BHARATWIRE,Bharat Wire Ropes Limited,BHARATWIRE.NS
BHARTIARTL,Bharti Airtel Limited,BHARTIARTL.NS
BHEL,Bharat Heavy Electricals Limited,BHEL.NS
BIGBLOC,Bigbloc Construction Limited,BIGBLOC.NS
BIL,Bhartiya International Limited,BIL.NS
BILENERGY,Bil Energy Systems Limited,BILENERGY.NS
BINDALAGRO,Oswal Chemicals & Fertilizers Limited,BINDALAGRO.NS
BIOCON,Biocon Limited,BIOCON.NS
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,BIOFILCHEM.NS
BIRLACABLE,Birla Cable Limited,BIRLACABLE.NS
BIRLACORPN,Birla Corporation Limited,BIRLACORPN.NS
BIRLAMONEY,Aditya Birla Money Limited,BIRLAMONEY.NS
BIRLATYRE,Birla Tyres Limited,BIRLATYRE.NS
BKMINDST,Bkm Industries Limited,BKMINDST.NS
